lemma,token,tag,morph,picto,picto_bw
was möchten,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Fragen\wasmoechtestdu.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Fragen\wasmoechtestduSW.png
was spielen,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Fragen\wasspielen.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Fragen\wasspielenSW.png
welch Spiel,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Fragen\welchesspielen.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Fragen\welchesspielenSW.png
weshalb,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Fragen\weshalb.png,
wessen,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Fragen\wessen.png,
wie,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Fragen\wie.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Fragen\wieSW.png
wie fühlen,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Fragen\wiefuehlts.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Fragen\wiefuehltsSW.png
wie gehen,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Fragen\wiegehtesdir.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Fragen\wiegehtesdirSW.png
wie heissen,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Fragen\wieheisstdu.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Fragen\wieheisstduSW.png
wie lang,,{'lang': 'ADV'},,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Fragen\wielange.png,
wieso,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Fragen\wieso.png,
wie spät,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Fragen\wiespaetistes.png,
wie spielen,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Fragen\wiespieltmandas.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Fragen\wiespieltmandasSW.png
wie stehen,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Fragen\wiestehts.png,
was stehen,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Fragen\wiestehts2.png,
wie viel,,{'viel': 'PIS'},,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Fragen\wieviel.png,
wie viel,,{'viel': 'PIAT'},,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Fragen\wieviele.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Fragen\wievieleSW.png
was kosten,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Fragen\wievielkostet.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Fragen\wievielkostetSW.png
wie viel kosten,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Fragen\wievielkostet.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Fragen\wievielkostetSW.png
wie weit,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Fragen\wieweit2.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Fragen\wieweit2SW.png
wo,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Fragen\wo.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Fragen\woSW.png
woher,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Fragen\woher.png,
wohin,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Fragen\wohin2.png,
Problem ?,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Fragen\woistproblem_wassolldas.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Fragen\woistproblem_wassolldasSW.png
womit,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Fragen\womit.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Fragen\womitSW.png
worauf,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Fragen\worauf.png,
woraus,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Fragen\woraus.png,
worin,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Fragen\worin.png,
worüber,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Fragen\worueber.png,
worum,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Fragen\worum.png,
worunter,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Fragen\worunter.png,
wovon,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Fragen\wovon.png,
wovor,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Fragen\wovor.png,
wofür,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Fragen\wozu.png,
wozu,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Fragen\wozu.png,
arabisch Emirat,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Geografie\arabischeemirateVAE.png,
vereinigt arabisch Emirat,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Geografie\arabischeemirateVAE.png,
Apfelteiler,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Geschirr\apfelteiler.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Geschirr\apfelteilerSW.png
Salatbesteck,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Geschirr\salatbesteck2.png,
Pizzaschneider,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Geschirr\teigradpizzaschneider.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Geschirr\teigradpizzaschneiderSW.png
Teigrad,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Geschirr\teigradpizzaschneider.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Geschirr\teigradpizzaschneiderSW.png
Teigrolle,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Geschirr\teigrolle.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Geschirr\teigrolleSW.png
Wallholz,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Geschirr\teigrolle.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Geschirr\teigrolleSW.png
Teigschaber,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Geschirr\teigschaberrot.png,
Tortenring,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Geschirr\tortenring.png,
Kaminanzünder,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Haus\kaminanzuender.png,
mein Zimmer,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Haus\meinzimmer.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Haus\meinzimmerSW.png
Treppe steigen,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Haus\treppesteigen.png,
Treppensteigen,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Haus\treppesteigen.png,
Apfelstecher,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Hausarbeit\apfelstecher.png,
Eiertrenner,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Hausarbeit\eiertrenner.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Hausarbeit\eiertrennerSW.png
Geschirrspültab,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Hausarbeit\geschirrspueltabs.png,
Schuhputzbürste,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Hausarbeit\schuhputzbuerste.png,
Schuhputzzeug,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Hausarbeit\schuhputzzeug.png,
Zwiebelhacker,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Hausarbeit\zwiebelhacker.png,
Augensteuerung,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Hilfsmittel\augensteuerung.png,
BIGmack,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Hilfsmittel\bigmack1farb.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Hilfsmittel\bigmack1.png
Bildkarte,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Hilfsmittel\bildkartenFB.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Hilfsmittel\bildkarten.png
Rollstuhlbremse,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Hilfsmittel\bremse.png,
Kommunikationstafel,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Hilfsmittel\Kommunikationstafel.png,
NF-Walker,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Hilfsmittel\nfwalker2.png,
Rollfiets,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Hilfsmittel\rollfiets.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Hilfsmittel\rollfietsSW.png
Talker,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Hilfsmittel\talker4.png,
Talkerhalterung,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Hilfsmittel\talkerhalterung.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Hilfsmittel\talkerhalterungSW.png
Tracheostoma,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Hilfsmittel\tracheostoma2.png,
Ballerina,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleidung_Accessoires\ballerina.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleidung_Accessoires\ballerinaSW.png
Pullunder,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleidung_Accessoires\pullunder.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleidung_Accessoires\pullunderSW.png
Regenhose,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleidung_Accessoires\regenhose.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleidung_Accessoires\regenhoseSW.png
Regenoverall,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleidung_Accessoires\regenoverall.png,
Strampler,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleidung_Accessoires\strampleroverall.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleidung_Accessoires\strampleroverallSW.png
ab,,APPR,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\ab2.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\ab2SWrot.png
aber,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\aber.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\aberSW.png
allerdings,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\allerdings_indeed_engl.png,
als,,KOKOM,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\als.png,
als,,KOUS,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\als2.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\als2SW.png
also,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\also.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\alsoSW.png
am,,APPRART,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\am.png,
an,,APPR,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\an.png,
andernorts,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\andererort_woanders.png,
anderorts,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\andererort_woanders.png,
anderswo,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\andererort_woanders.png,
woanders,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\andererort_woanders.png,
jemand ander,,"{'jemand': 'PIS', 'ander': 'PIS'}",,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\anders_jemandanderes.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\anders_jemandanderesSW.png
auch,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\auch.png,
auf,,APPR,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\auf2.png,
aus,,APPR,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\aus.png,
aussen,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\aussen2.png,
äusser,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\aussen2.png,
ausser,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\ausser.png,
ausserdem,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\ausserdem.png,
bei,,APPR,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\bei.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\beiSW.png
beim,,APPRART,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\beim.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\beimSW.png
bevor,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\bevor.png,
bis,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\bis.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\bisSW.png
bisschen,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\bisschen.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\bisschenSW.png
bloss,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\bloss.png,
da,,ADV,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\da.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\daSW.png
dabei,,PTKVZ,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\dabei.png,
dafür,,PROAV,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\dafuer.png,
degegen,,PROAV,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\dagegen.png,
damit,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\damit.png,
sodass,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\damit.png,
daneben,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\daneben.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\danebenSW.png
darum,,PROAV,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\darum.png,
dass,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\dass.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\dassSW.png
davor,,PROAV,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\davor.png,
denn,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\denn.png,
deshalb,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\deshalb.png,
desto,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\desto.png,
deswegen,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\deswegen.png,
doch !,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\doch.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\dochSW.png
"doch ,",,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\doch.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\dochSW.png
doch .,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\doch.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\dochSW.png
dort,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\dort.png,
darauf,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\drauf.png,
drauf,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\drauf.png,
draussen,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\draussen2.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\draussen2SW.png
drinnen,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\drinnen2.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\drinnen2SW.png
drüben,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\drueben.png,
darüber,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\drueber.png,
drüber,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\drueber.png,
darunter,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\drunter.png,
drunter,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\drunter.png,
durch,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\durch.png,
eben,,ADV,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\eben.png,
eigentlich,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\eigentlich.png,
einig,,PIAT,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\einige.png,
einmal,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\einmal.png,
entweder,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\entweder.png,
etwas,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\etwas.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\etwasSW.png
falls,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\falls.png,
fast,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\fast.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\fastSW.png
fertig,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\fertig1.png,
für,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\fuer.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\fuerSW.png
ganz,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\ganz.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\ganzSW.png
gegen,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\gegen.png,
geradeaus,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\geradeaus.png,
gern,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\gern.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\gernSW.png
gerne,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\gern.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\gernSW.png
her,,PTKVZ,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\her.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\herSW.png
heraus,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\heraus.png,
herein,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\herein.png,
hier,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\hier2.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\hier2SW.png
hin,,PTKVZ,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\hin.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\hinSW.png
hinaus,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\hinausraus.png,
raus,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\hinausraus.png,
hinein,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\hineinrein.png,
rein,,PTKVZ,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\hineinrein.png,
hinten,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\hinten1.png,
hinter,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\hinter.png,
hoffentlich,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\hoffentlich.png,
im,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\im.png,
in,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\in.png,
innen,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\innen2.png,
inner,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\innen2.png,
ja,,PTKANT,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\ja.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\jaSW.png
je,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\je2.png,
jed,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\jede.png,
kaum,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\kaum.png,
leider,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\leider.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\leiderSW.png
link,,ADJA,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\links1.png,
links,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\links1.png,
manch,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\manche.png,
manchmal,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\manchmal.png,
mehr,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\mehr2.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\mehr2SW.png
mehrer,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\mehrere.png,
mehrmals,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\mehrmals.png,
meinetwegen,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\meinetwegen.png,
meist,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\meiste.png,
mit,,APPR,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\mit2.png,
mitten,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\mittenmittendrin.png,
mittendrin,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\mittenmittendrin.png,
nach,,APPR,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\nach.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\nachSW.png
nachdem,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\nachdem.png,
nacher,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\nachher.png,
nämlich,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\naemlich.png,
naja,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\naja.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\najaSW.png
neben,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\neben.png,
nein,,PTKANT,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\nein.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\neinSW.png
kein,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\nichtkein.png,
nicht,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\nichtkein.png,
nichts,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\nichts.png,
noch,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\noch.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\nochSW2.png
nochmal,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\nochmal2.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\nochmal2SW.png
noch nicht,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\nochnicht.png,
nur,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\nur2.png,
ob,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\ob.png,
